s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
T	270	0.302	2	0	815.278
T	271	0.361	2	0	815.278
T	272	0.298	2	0	815.278
T	273	0.273	2	0	815.278
T	274	0.313	2	0	815.278
T	275	0.393	2	0	815.278
T	276	0.358	2	0	815.278
T	277	0.359	2	0	815.278
T	278	0.351	2	0	815.278
T	279	0.381	2	0	815.278
T	280	0.337	2	0	815.278
T	281	0.337	2	0	815.278
T	282	0.361	2	0	815.278
T	283	0.258	2	0	815.278
T	284	0.302	2	0	815.278
T	285	0.313	2	0	815.278
T	286	0.324	2	0	815.278
T	287	0.237	2	0	815.278
T	288	0.345	2	0	815.278
T	289	0.383	2	0	815.278
T	290	0.270	2	0	815.278
T	291	0.326	2	0	815.278
T	292	0.355	2	0	815.278
T	293	0.352	2	0	815.278
T	294	0.329	2	0	815.278
T	295	0.359	2	0	815.278
T	296	0.343	2	0	815.278
T	297	0.306	2	0	815.278
T	298	0.359	2	0	815.278
T	299	0.281	2	0	815.278
T	300	0.273	2	0	815.278
T	301	0.282	2	0	815.278
T	302	0.329	2	0	815.278
T	303	0.234	2	0	815.278
T	304	0.345	2	0	815.278
T	305	0.359	2	0	815.278
T	306	0.294	2	0	815.278
T	307	0.329	2	0	815.278
T	308	0.331	2	0	815.278
T	309	0.342	2	0	815.278
T	310	0.338	2	0	815.278
T	311	0.382	2	0	815.278
T	312	0.279	2	0	815.278
T	313	0.405	2	0	815.278
T	314	0.276	2	0	815.278
T	315	0.367	2	0	815.278
T	316	0.331	2	0	815.278
T	317	0.353	2	0	815.278
T	318	0.375	2	0	815.278
