# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	642.2	 2.538	5
M	642.7	 2.447	5
M	643.2	 2.699	5
M	643.7	 2.613	5
M	644.2	 2.484	5
M	644.7	 2.686	5
M	645.2	 2.582	5
M	645.7	 2.719	5
M	646.2	 2.728	5
M	646.7	 2.550	5
M	647.2	 2.676	5
M	647.7	 2.556	5
M	648.2	 2.565	5
M	648.7	 2.591	5
M	649.2	 2.590	5
M	649.7	 2.431	5
M	650.2	 2.783	5
M	650.7	 2.688	5
M	651.2	 2.592	5
M	651.8	 2.780	5
M	652.3	 2.861	5
M	652.8	 2.702	5
M	653.3	 2.831	5
M	653.8	 2.693	5
M	654.3	 2.584	5
M	654.8	 2.703	5
M	655.3	 2.642	5
M	655.8	 2.710	5
M	656.3	 2.733	5
M	656.8	 2.933	5
M	657.3	 2.540	5
M	657.8	 2.532	5
M	658.3	 2.477	5
M	658.8	 2.720	5
