# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 
# (not updated)
# Current settings:
# Gain setting 2x (1)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	348.2	 0.789	2
M	348.7	 0.806	2
M	349.2	 0.705	2
M	349.7	 0.697	2
M	350.2	 0.808	2
M	350.7	 0.714	2
M	351.3	 0.678	2
M	351.8	 0.810	2
M	352.3	 0.779	2
M	352.8	 0.695	2
M	353.3	 0.719	2
M	353.8	 0.805	2
M	354.3	 0.649	2
M	354.8	 0.793	2
M	355.3	 0.728	2
M	355.8	 0.704	2
M	356.3	 0.788	2
M	356.8	 0.686	2
M	357.3	 0.674	2
M	357.8	 0.796	2
M	358.3	 0.687	2
M	358.8	 0.725	2
M	359.3	 0.728	2
M	359.8	 0.681	2
M	360.3	 0.664	2
M	360.8	 0.779	2
M	361.3	 0.693	2
M	361.8	 0.679	2
M	362.3	 0.668	2
M	362.8	 0.748	2
M	363.3	 0.755	2
M	363.8	 0.682	2
M	364.3	 0.801	2
M	364.8	 0.782	2
M	365.3	 0.709	2
M	365.8	 0.706	2
M	366.3	 0.769	2
M	366.8	 0.695	2
M	367.3	 0.823	2
M	367.8	 0.685	2
M	368.3	 0.763	2
M	368.8	 0.763	2
M	369.3	 0.671	2
M	369.8	 0.818	2
M	370.3	 0.790	2
M	370.8	 0.704	2
M	371.3	 0.742	2
M	371.8	 0.708	2
M	372.3	 0.661	2
M	372.8	 0.785	2
M	373.3	 0.692	2
M	373.8	 0.647	2
M	374.3	 0.768	2
M	374.8	 0.704	2
M	375.3	 0.757	2
M	375.8	 0.657	2
M	376.4	 0.738	2
M	376.9	 0.724	2
M	377.4	 0.623	2
M	377.9	 0.645	2
M	378.4	 0.744	2
M	378.9	 0.701	2
M	379.4	 0.696	2
M	379.9	 0.798	2
M	380.4	 0.682	2
M	380.9	 0.784	2
M	381.4	 0.697	2
M	381.9	 0.775	2
M	382.4	 0.750	2
M	382.9	 0.691	2
M	383.4	 0.714	2
M	383.9	 0.785	2
M	384.4	 0.756	2
M	384.9	 0.635	2
M	385.4	 0.721	2
M	385.9	 0.733	2
M	386.4	 0.776	2
M	386.9	 0.776	2
M	387.4	 0.777	2
M	387.9	 0.722	2
M	388.4	 0.614	2
M	388.9	 0.638	2
M	389.4	 0.760	2
M	389.9	 0.778	2
M	390.4	 0.704	2
M	390.9	 0.688	2
M	391.4	 0.798	2
M	391.9	 0.642	2
M	392.4	 0.645	2
M	392.9	 0.667	2
M	393.4	 0.685	2
M	393.9	 0.650	2
M	394.4	 0.655	2
M	394.9	 0.691	2
M	395.4	 0.681	2
M	395.9	 0.720	2
M	396.4	 0.771	2
M	396.9	 0.787	2
M	397.4	 0.774	2
M	397.9	 0.678	2
M	398.4	 0.752	2
M	398.9	 0.756	2
M	399.4	 0.773	2
M	399.9	 0.676	2
M	400.4	 0.795	2
M	400.9	 0.694	2
M	401.5	 0.670	2
M	402.0	 0.653	2
M	402.5	 0.715	2
M	403.0	 0.649	2
M	403.5	 0.762	2
M	404.0	 0.771	2
M	404.5	 0.735	2
M	405.0	 0.791	2
M	405.5	 0.703	2
M	406.0	 0.824	2
M	406.5	 0.764	2
M	407.0	 0.668	2
M	407.5	 0.656	2
M	408.0	 0.760	2
M	408.5	 0.812	2
M	409.0	 0.669	2
M	409.5	 0.814	2
M	410.0	 0.793	2
M	410.5	 0.676	2
M	411.0	 0.658	2
M	411.5	 0.701	2
M	412.0	 0.789	2
M	412.5	 0.779	2
M	413.0	 0.773	2
M	413.5	 0.714	2
M	414.0	 0.704	2
M	414.5	 0.760	2
M	415.0	 0.719	2
M	415.5	 0.784	2
M	416.0	 0.773	2
M	416.5	 0.774	2
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: Adding 2 ml O/N culture
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	506.2	 1.162	2
M	506.7	 1.235	2
M	507.2	 1.190	2
M	507.7	 1.246	2
M	508.2	 1.200	2
M	508.7	 1.119	2
M	509.2	 1.139	2
M	509.7	 1.182	2
M	510.2	 1.163	2
M	510.7	 1.161	2
M	511.2	 1.188	2
M	511.7	 1.133	2
M	512.3	 1.279	2
M	512.8	 1.182	2
M	513.3	 1.144	2
M	513.8	 1.243	2
M	514.3	 1.281	2
M	514.8	 1.157	2
M	515.3	 1.237	2
M	515.8	 1.156	2
M	516.3	 1.090	2
M	516.8	 1.186	2
M	517.3	 1.214	2
M	517.8	 1.235	2
M	518.3	 1.145	2
M	518.8	 1.254	2
M	519.3	 1.183	2
M	519.8	 1.124	2
M	520.3	 1.141	2
M	520.8	 1.189	2
M	521.3	 1.199	2
M	521.8	 1.089	2
M	522.3	 1.151	2
M	522.8	 1.249	2
M	523.3	 1.191	2
M	523.8	 1.184	2
M	524.3	 1.151	2
M	524.8	 1.151	2
M	525.3	 1.191	2
M	525.8	 1.109	2
M	526.3	 1.269	2
M	526.8	 1.197	2
M	527.3	 1.252	2
M	527.8	 1.263	2
M	528.3	 1.258	2
M	528.8	 1.122	2
M	529.3	 1.108	2
M	529.8	 1.302	2
M	530.3	 1.297	2
M	530.8	 1.214	2
M	531.3	 1.201	2
M	531.8	 1.140	2
M	532.3	 1.181	2
M	532.8	 1.222	2
M	533.3	 1.275	2
M	533.8	 1.261	2
M	534.3	 1.186	2
M	534.8	 1.163	2
M	535.3	 1.187	2
M	535.8	 1.268	2
M	536.3	 1.172	2
M	536.8	 1.160	2
M	537.4	 1.090	2
M	537.9	 1.096	2
M	538.4	 1.222	2
M	538.9	 1.228	2
M	539.4	 1.137	2
M	539.9	 1.172	2
M	540.4	 1.214	2
M	540.9	 1.102	2
M	541.4	 1.121	2
M	541.9	 1.205	2
M	542.4	 1.231	2
M	542.9	 1.089	2
M	543.4	 1.177	2
M	543.9	 1.217	2
M	544.4	 1.232	2
M	544.9	 1.139	2
M	545.4	 1.179	2
M	545.9	 1.223	2
M	546.4	 1.133	2
M	546.9	 1.125	2
M	547.4	 1.091	2
M	547.9	 1.178	2
M	548.4	 1.213	2
M	548.9	 1.072	2
M	549.4	 1.190	2
M	549.9	 1.140	2
M	550.4	 1.088	2
M	550.9	 1.282	2
M	551.4	 1.251	2
M	551.9	 1.179	2
M	552.4	 1.097	2
M	552.9	 1.155	2
M	553.4	 1.087	2
M	553.9	 1.198	2
M	554.4	 1.280	2
M	554.9	 1.160	2
M	555.4	 1.196	2
M	555.9	 1.204	2
M	556.4	 1.136	2
M	556.9	 1.022	2
M	557.4	 1.195	2
M	557.9	 1.072	2
M	558.4	 1.110	2
M	558.9	 1.231	2
M	559.4	 1.163	2
M	559.9	 1.098	2
M	560.4	 1.093	2
M	560.9	 1.156	2
M	561.4	 1.170	2
M	561.9	 1.111	2
M	562.5	 1.133	2
M	563.0	 1.204	2
M	563.5	 1.097	2
M	564.0	 1.213	2
M	564.5	 1.049	2
M	565.0	 1.181	2
M	565.5	 1.177	2
M	566.0	 1.222	2
M	566.5	 1.162	2
M	567.0	 1.121	2
M	567.5	 1.128	2
M	568.0	 1.155	2
M	568.5	 1.222	2
M	569.0	 1.202	2
M	569.5	 1.131	2
M	570.0	 1.165	2
M	570.5	 1.075	2
M	571.0	 1.086	2
M	571.5	 1.177	2
M	572.0	 1.038	2
M	572.5	 1.152	2
M	573.0	 1.185	2
M	573.5	 1.224	2
M	574.0	 1.207	2
M	574.5	 1.182	2
M	575.0	 1.078	2
M	575.5	 1.138	2
M	576.0	 1.052	2
M	576.5	 1.165	2
M	577.0	 1.087	2
M	577.5	 1.055	2
M	578.0	 1.141	2
M	578.5	 1.164	2
M	579.0	 1.285	2
M	579.5	 1.148	2
M	580.0	 1.168	2
M	580.5	 1.125	2
M	581.0	 1.077	2
M	581.5	 1.200	2
M	582.0	 1.195	2
M	582.5	 1.095	2
M	583.0	 1.061	2
M	583.5	 1.192	2
M	584.0	 1.101	2
M	584.5	 1.142	2
M	585.0	 1.064	2
M	585.5	 1.079	2
M	586.0	 1.119	2
M	586.5	 1.262	2
M	587.0	 1.122	2
M	587.6	 1.246	2
M	588.1	 1.120	2
M	588.6	 1.208	2
M	589.1	 1.158	2
M	589.6	 1.077	2
M	590.1	 1.131	2
M	590.6	 1.185	2
M	591.1	 1.156	2
M	591.6	 1.074	2
M	592.1	 1.066	2
M	592.6	 1.128	2
M	593.1	 1.153	2
M	593.6	 1.156	2
M	594.1	 1.102	2
M	594.6	 1.220	2
M	595.1	 1.148	2
M	595.6	 1.225	2
M	596.1	 1.110	2
M	596.6	 1.226	2
M	597.1	 1.215	2
M	597.6	 1.175	2
M	598.1	 1.175	2
M	598.6	 1.202	2
M	599.1	 1.185	2
M	599.6	 1.186	2
M	600.1	 1.110	2
M	600.6	 1.257	2
M	601.1	 1.196	2
M	601.6	 1.168	2
M	602.1	 1.112	2
M	602.6	 1.192	2
M	603.1	 1.236	2
M	603.6	 1.230	2
M	604.1	 1.131	2
M	604.6	 1.140	2
M	605.1	 1.115	2
M	605.6	 1.232	2
M	606.1	 1.164	2
M	606.6	 1.170	2
M	607.1	 1.127	2
M	607.6	 1.105	2
M	608.1	 1.129	2
M	608.6	 1.109	2
M	609.1	 1.093	2
M	609.6	 1.240	2
M	610.1	 1.095	2
M	610.6	 1.241	2
M	611.1	 1.112	2
M	611.6	 1.228	2
M	612.1	 1.112	2
M	612.7	 1.172	2
M	613.2	 1.179	2
M	613.7	 1.214	2
M	614.2	 1.188	2
M	614.7	 1.078	2
M	615.2	 1.142	2
M	615.7	 1.201	2
M	616.2	 1.197	2
M	616.7	 1.269	2
M	617.2	 1.142	2
M	617.7	 1.267	2
M	618.2	 1.213	2
M	618.7	 1.240	2
M	619.2	 1.144	2
M	619.7	 1.166	2
M	620.2	 1.230	2
M	620.7	 1.199	2
M	621.2	 1.220	2
M	621.7	 1.128	2
M	622.2	 1.228	2
M	622.7	 1.139	2
M	623.2	 1.215	2
M	623.7	 1.113	2
M	624.2	 1.206	2
M	624.7	 1.041	2
M	625.2	 1.211	2
M	625.7	 1.221	2
M	626.2	 1.232	2
M	626.7	 1.146	2
M	627.2	 1.196	2
M	627.7	 1.060	2
M	628.2	 1.078	2
M	628.7	 1.112	2
